,Target Tweets
0,"tire be self aware would like cloud 
"
1,"Edgar Allen Poe be into astrology literally fuck off thats the sickest shit Ive hear minute 
"
2,"think people be protest outside during the black plague 
"
3,"happy mother day all the pixar moms with absolute dump truck asses 
"
4,"can everything stay close dont like when ppl be out public harass people for fun 
"
5,"why be white americans only able measure death tragedy term 9/11 
"
6,"cant wait walk down the aisle 
"
7,"One day Ill have greenhouse can have tea party 
"
8,"Its officially be years since Miley Cyrus drop Cant Tamed Parents be FUMING 
"
9,"man just come and say think should just start instal tower everywhere 
"
10,"curse front face Timmy Turner bad luck for 999 days 
"
11,"Bitches with gum like these always get fianc somehow 
"
12,"they act like not full control where throw this cooch 
"
13,"bitch think be mean unprovoked cute and funny like girl why be you still chase that highschool mean girl fanta 
"
14,"love him 
"
15,"These Reuters photos strip club Oregon operate drive through takeaway service confirm that have reach the 
"
16,"The pentagon literally CONFIRMED THE EXISTENCE alien today and one give shit 2020 fcking wild 
"
17,"someone give kylie jenner oscar now 
"
18,"sure man just casually listen anime intro music while get ready 
"
19,"you attend Life Color the knit factory like 2013-2014ish youre immune covid-19 
"
20,"Nobody Anime villains that think they have already win 
"
21,"you have all this then shouldnt open 
"
22,"this favourite genre white guy 
"
23,"girls be insane lol how you gon have playlist just for cry 
"
24,"Yall be the evil oppressors both pics beloved self drag 
"
25,"Seeing the most toxic girls preach about mental health social media 
"
26,"Stop tell Trump supporters not inject Lysol into their vein their body their choice 
"
27,"you dont like avocados keep that shit yourself because thats fuck embarrass 
"
28,"why be stra*ght men against astrology and personality test like they 're bear with this vendetta against 
"
29,"this not scar the cop but unarm Black people hold cellphones do lmao 
"
30,"fuck excite get this switch dog 
"
31,"wish that dog could simply live forever 
"
32,"Yes yes yes do 
"
33,"SISOLAK SAID YEAR FROM NOW YOU WONT REMEMBER WHAT DAY OPENED BUT YOURE GON REMEMBER YOUR FAMILY WHO DIED AHHHH PERIOTD 
"
34,"fuckin cave and get switch 
"
35,"When the blunt hit back 
"
36,"The democrats say 2000 month for the next months and the republicans say hell naw will open today 
"
37,"Trump say that HUNDREDS Governors be call him. only have Think about that Take all the time you need 
"
38,"When girl really into YOU Every single LITTLE thing you affect her FEELINGS 
"
39,"wont smokin but the rest fam sure will tokin Happy 4/20 yall 
"
40,"be the protestors sick corona yet think will have wait weeks for all the republicans die 
"
41,"Boomers accuse millenials be soft and entitle and month be protest be unable eat Baskin Robbins 
"
42,"fuck hate here 
"
43,"sorry paper be late professor lose track time and spend half tuesday star the ceiling wonder life 
"
44,"Opening America Again when the curve just begin flatten like stop your prescribe antibiotics because 
"
45,"Doja serve this emoji live 
"
46,"Idk who need hear this but save your money Dont senseless shop Trust 
"
47,"Ima teach kid the importance apologize feel like grow parent didnt apologize enough they 
"
48,"hear light knock door and go answer and be landlords dog bring stick 
"
49,"wan fuck ... .ing tattoo appointment 
"
50,"plant rlly like not vibe with this dirt and die 
"
51,"People worry about tower but dont question Burger King sell nuggets for 
"
52,"HELL somebody do voodoo this lady and turn her into WILD HORSE watch how she run away the endddd 
"
53,"sometimes just get lay the floor with dog 
"
54,"sad the tattoo shop be close 
"
55,"The girls just arent do blasphemy like this anymore 
"
56,"Well figure out together love language 
"
57,"when white ppl say theyre half Cherokee 
"
